iter	RMSE
175	1.874298196
176	1.850002617
177	1.836686641
178	1.813434794
179	1.791472414
180	1.777332461
181	1.75609251
182	1.735482891
183	1.722449888
184	1.703297939
185	1.689867852
186	1.671236208
187	1.653006172
188	1.640774782
189	1.623096668
190	1.610405878
191	1.592391777
192	1.575445091
193	1.563308461
194	1.551912332
195	1.532713962
196	1.516338265
197	1.500469681
198	1.482943214
199	1.467222825
200	1.449550759
201	1.434372018
202	1.419611367
203	1.402609851
204	1.385322213
205	1.374656901
206	1.35821584
207	1.33936144
208	1.323682849
209	1.309594884
210	1.3010052
211	1.292651597
212	1.282096741
213	1.274018515
214	1.263780735
215	1.25146619
216	1.243721395
217	1.236191766
218	1.219088413
219	1.21185238
220	1.202397234
221	1.195402117
222	1.179652511
223	1.170229304
224	1.163571903
225	1.154463325
226	1.148066726
227	1.132055364
228	1.123356258
229	1.117284023
230	1.101932673
231	1.087045588
232	1.078829695
233	1.073135214
234	1.05885978
235	1.051247229
236	1.037457348
237	1.023861239
238	1.010621621
239	0.9984337831
240	0.9878880104
241	0.9790778224
242	0.9719438895
243	0.9658764705
244	0.9590861322
245	0.9507718178
246	0.944062299
247	0.9369216728
248	0.9297273606
249	0.9229337405
250	0.9160260051
251	0.9094381818
252	0.9030041492
253	0.8964159822
254	0.8851922459
255	0.8788564674
256	0.8689743423
257	0.8628802705
258	0.8569070012
259	0.8510739819
260	0.8417624607
261	0.8359766166
262	0.8303790959
263	0.8214711378
264	0.816013346
265	0.8119477622
266	0.8066713481
267	0.8011954799
268	0.7959222155
269	0.7908365072
270	0.7836632512
271	0.778720123
272	0.7738954136
273	0.766038459
274	0.761023787
275	0.7542512662
276	0.7496116775
277	0.7448777791
278	0.7383664626
279	0.7338844886
280	0.7283204586
281	0.7220438973
282	0.7199507598
283	0.7171066306
284	0.7053256974
285	0.7035842129
286	0.7018926735
287	0.693123867
288	0.6879828203
289	0.6863755809
290	0.6815824037
291	0.6797474549
292	0.6771109605
293	0.6662241983
294	0.6636931932
295	0.6538649584
296	0.6454221498
297	0.6430162026
298	0.6406919212
299	0.6348576183
300	0.6334945143
301	0.6262256398
302	0.6218000644
303	0.6204932422
304	0.6149616864
305	0.6107211554
306	0.6094717513
307	0.6053315659
308	0.6041185351
309	0.5988038462
310	0.5952867481
311	0.5941140332
312	0.5890089457
313	0.5856037522
314	0.5844696882
315	0.579564221
316	0.5764718279
317	0.5753763025
318	0.5715606491
319	0.5668523557
320	0.563982865
321	0.5625623331
322	0.5580352508
323	0.55668018
324	0.5538360201
325	0.552520341
326	0.5461907595
327	0.5419062128
328	0.5385015899
329	0.5363351931
330	0.5335767569
331	0.5323439521
332	0.529652166
333	0.5275716557
334	0.5249397907
335	0.5221064482
336	0.5195421741
337	0.5157192684
338	0.5145330664
339	0.513384922
340	0.5075626341
341	0.504780501
342	0.5023632226
343	0.5000080758
344	0.4980569007
345	0.4957529252
346	0.4938776458
347	0.4916236578
348	0.489427722
349	0.4873141509
350	0.48490053
351	0.4817034673
352	0.4793070978
353	0.4769945913
354	0.4741005362
355	0.4725723966
356	0.4704398767
357	0.4689725051
358	0.4663185715
359	0.4649053779
360	0.4635268833
361	0.4610287397
362	0.459701552
363	0.4584071631
364	0.4560568048
365	0.4548109666
366	0.4497903732
367	0.4485830752
368	0.4430948893
369	0.439649864
370	0.4384056541
371	0.435020146
372	0.4337990092
373	0.4290978297
374	0.4279178611
375	0.4244535988
376	0.4232979727
377	0.4199144378
378	0.4187826254
379	0.4154781111
380	0.4123762344
381	0.4112658792
382	0.4082366743
383	0.4055146257
384	0.404426968
385	0.4017616872
386	0.3988980975
387	0.3978322784
388	0.3948934012
389	0.3925758157
390	0.390207684
391	0.3879310793
392	0.3869024115
393	0.3842335917
394	0.3818334776
395	0.379387374
396	0.3771343845
397	0.3749762656
398	0.3728827027
399	0.3706920044
400	0.3687887577
401	0.3666490681
402	0.3651741034
403	0.3642132181
404	0.3621389844
405	0.3603479542
406	0.3594090416
407	0.3573898227
408	0.3551692067
409	0.3542629285
410	0.3514983213
411	0.3495472747
412	0.3482346972
413	0.3473586249
414	0.3454657589
415	0.3434070145
416	0.3425606056
417	0.3417695027
418	0.3399272206
419	0.3391500694
420	0.3373488786
421	0.336585471
422	0.3346505875
423	0.3328910997
424	0.3321590916
425	0.3301317295
426	0.3294157002
427	0.3287161249
428	0.3270147989
429	0.3263277149
430	0.3246644107
431	0.3228619523
432	0.3209416195
433	0.3179917088
434	0.3151869556
435	0.3145574472
436	0.3139425535
437	0.312078826
438	0.3098070865
439	0.3092064055
440	0.3070071303
441	0.3048769993
442	0.3028136659
443	0.3012560356
444	0.3006703381
445	0.2986939893
446	0.297194824
447	0.2966221891
448	0.2951262038
449	0.2945634061
450	0.2940136031
451	0.292959376
452	0.2917146995
453	0.2906875017
454	0.2888177059
455	0.2873774133
456	0.2859783494
457	0.2850084748
458	0.2838236742
459	0.2828783782
460	0.2817153651
461	0.2807939565
462	0.2791471458
463	0.2774188282
464	0.276043882
465	0.2752550077
466	0.273677459
467	0.2715176846
468	0.2701686149
469	0.2689213274
470	0.2678454739
471	0.2671050302
472	0.2655939714
473	0.2635448006
474	0.2622307836
475	0.2610543492
476	0.2597616134
477	0.2589616211
478	0.2575135568
479	0.2565000069
480	0.255227387
481	0.2538376979
482	0.2519177382
483	0.2501445487
484	0.248895012
485	0.245047424
486	0.2438685513
487	0.243239173
488	0.241707342
489	0.2407544534
490	0.2395309861
491	0.2380331036
492	0.2370300114
493	0.2358242826
494	0.2347613794
495	0.2341895107
496	0.232998513
497	0.231551019
498	0.2306030584
499	0.2292291977
500	0.2276188636
501	0.2264508467
502	0.2258287013
503	0.2246001848
504	0.2234597448
505	0.2200253498
506	0.2187377738
507	0.2182376167
508	0.2177488816
509	0.2166368143
510	0.2153130789
511	0.2126006887
512	0.2115240672
513	0.2083254395
514	0.2072317468
515	0.2058037912
516	0.203376832
517	0.2020160607
518	0.1996776211
519	0.198661161
520	0.1972000527
521	0.194791545
522	0.1918592773
523	0.1908493302
524	0.1898775974
525	0.1895549435
526	0.1886059266
527	0.1882888338
528	0.1875244442
529	0.1865888934
530	0.1846377201
531	0.1819079738
532	0.1810080068
533	0.1804420345
534	0.1792668025
535	0.1788386618
536	0.177948833
537	0.1774814834
538	0.1766080467
539	0.1762192131
540	0.1751295449
541	0.1742854855
542	0.1739791465
543	0.1714406302
544	0.1709886132
545	0.1705490377
546	0.1695181567
547	0.1687024685
548	0.1684099097
549	0.1671804475
550	0.1668346218
551	0.1665419833
552	0.1657427369
553	0.1633618681
554	0.1625329258
555	0.1622061533
556	0.161164846
557	0.1599968418
558	0.159104251
559	0.1587906555
560	0.1579225423
561	0.157656415
562	0.1573971702
563	0.156621565
564	0.1561288187
565	0.1551572072
566	0.154407108
567	0.1532786596
568	0.1525284317
569	0.1522452253
570	0.1514262964
571	0.1511868041
572	0.1509598373
573	0.1506957808
574	0.1486811667
575	0.1475911024
576	0.1468819767
577	0.1464229028
578	0.1461687317
579	0.1442416064
580	0.1422614838
581	0.1412192156
582	0.1405511888
583	0.13857707
584	0.1375834686
585	0.1371477901
586	0.136727732
587	0.1348706057
588	0.1330704717
589	0.132123318
590	0.1315095027
591	0.1309716502
592	0.1303665633
593	0.12952652
594	0.1286071111
595	0.1280229128
596	0.12743958
597	0.1270246895
598	0.126788212
599	0.1265584227
